City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,La Ronge,CA,2021-08-08 21:05:28,55.1001,-105.2842,63.32,64,81,12.17
270,Houma,US,2021-08-08 21:07:44,29.5958,-90.7195,93.99,70,40,5.75
271,Bahar,IR,2021-08-08 21:07:44,34.9072,48.4414,72.72,35,24,3.65
272,Port Hedland,AU,2021-08-08 21:04:42,-20.3167,118.5667,55.45,76,6,4.61
273,Kapoeta,SS,2021-08-08 21:07:45,4.7717,33.5903,71.73,87,100,6.53
274,Vila Franca Do Campo,PT,2021-08-08 21:04:53,37.7167,-25.4333,72.01,87,49,10.4
275,Puerto Escondido,MX,2021-08-08 21:07:45,15.85,-97.0667,85.03,61,40,6.91
276,Shakawe,BW,2021-08-08 21:07:45,-18.3667,21.85,61.2,20,0,3.24
277,Coquimbo,CL,2021-08-08 21:07:46,-29.9533,-71.3436,56.93,71,20,10.36
278,Pisco,PE,2021-08-08 21:04:56,-13.7,-76.2167,64.45,72,75,19.57
279,Sulangan,PH,2021-08-08 21:07:46,11.1373,123.7228,81.9,77,99,6.62
280,Ewa Beach,US,2021-08-08 21:04:44,21.3156,-158.0072,87.75,49,75,9.22
281,Gizo,SB,2021-08-08 21:07:46,-8.103,156.8419,80.98,73,35,4.16
282,San Luis,AR,2021-08-08 21:05:58,-33.295,-66.3356,41.23,73,100,16.62
283,Lagoa,PT,2021-08-08 21:04:45,39.05,-27.9833,72.09,86,19,19.48
284,Taoudenni,ML,2021-08-08 21:06:10,22.6783,-3.9836,104.72,8,14,12.97
285,Gilgit,PK,2021-08-08 21:07:47,35.9221,74.3087,71.89,67,99,4.03
286,Gazanjyk,TM,2021-08-08 21:07:47,39.2446,55.5154,90.66,15,0,12.21
287,Dunedin,NZ,2021-08-08 21:00:46,-45.8742,170.5036,37.8,81,90,5.99
288,Peremyshlyany,UA,2021-08-08 21:07:47,49.6652,24.5585,70.12,77,92,2.57
289,Malacatepec,MX,2021-08-08 21:07:48,18.9333,-98.3,69.91,59,47,5.88
290,Anito,PH,2021-08-08 21:05:22,12.4497,125.2886,77.79,90,100,4.74
291,Cap Malheureux,MU,2021-08-08 21:04:30,-19.9842,57.6142,68.47,90,89,4.0
292,Harper,LR,2021-08-08 21:04:08,4.375,-7.7169,76.5,84,38,12.03
293,Kununurra,AU,2021-08-08 21:05:49,-15.7667,128.7333,51.78,82,0,1.14
