City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Porto Empedocle,IT,37.2934,13.5264,97.3,55,9,7.76,clear sky
300,Antequera,ES,37.0194,-4.5612,111.96,11,11,9.86,few clouds
301,Morondava,MG,-20.2833,44.2833,75.6,72,0,16.82,clear sky
302,Marathon,US,44.9,-89.7668,73.87,66,1,0.0,clear sky
303,Saint-Georges,GD,12.0564,-61.7485,87.48,74,75,17.27,broken clouds
304,Berlevag,NO,70.8578,29.0864,51.1,81,66,11.92,broken clouds
305,Suez,EG,29.9737,32.5263,92.35,28,0,20.87,clear sky
306,Matagami,CA,49.7502,-77.6328,55.51,88,90,6.91,overcast clouds
307,Port Lincoln,AU,-34.7333,135.8667,51.98,64,0,6.73,clear sky
308,Iquitos,PE,-3.7481,-73.2472,89.6,51,100,1.5,overcast clouds
309,Norman Wells,CA,65.282,-126.8329,51.84,93,75,9.22,light rain
310,Rudnichnyy,RU,59.617,52.4703,61.97,71,100,5.97,overcast clouds
311,Kaoma,ZM,-14.7833,24.8,77.77,19,1,7.2,clear sky
312,Dorokhovo,RU,55.5506,36.3744,71.33,65,90,2.86,overcast clouds
313,Abha,SA,18.2164,42.5053,80.85,16,20,17.27,few clouds
314,Olafsvik,IS,64.8945,-23.7142,54.73,79,69,12.55,broken clouds
315,Grand-Bourg,GP,15.8835,-61.3148,87.75,76,85,10.58,overcast clouds
316,Coos Bay,US,43.3665,-124.2179,64.24,88,90,4.61,overcast clouds
317,San Diego De La Union,MX,21.4667,-100.8667,69.1,60,89,8.28,overcast clouds
318,Russell,US,32.3502,-85.1999,90.79,58,1,4.61,clear sky
319,Shebalino,RU,51.2917,85.6772,51.73,100,100,3.15,moderate rain
320,Kralendijk,BQ,12.15,-68.2667,82.38,94,75,8.05,broken clouds
321,Kenora,CA,49.8167,-94.4337,73.58,35,43,10.38,scattered clouds
322,Fowa,NG,8.9167,6.4,82.17,77,79,3.67,light rain
